role_name,vm_name
EXECUTIVE_COMMITTEE,summary.cm
EXECUTIVE_COMMITTEE,bank.1.information.cm
EXECUTIVE_COMMITTEE,bank.3.information.cm
EXECUTIVE_COMMITTEE,bank.4.information.cm
EXECUTIVE_COMMITTEE,bank.5.information.cm
EXECUTIVE_COMMITTEE,credit.informationNewCustomer.cm
EXECUTIVE_COMMITTEE,credit.informationOldCustomer.cm
EXECUTIVE_COMMITTEE,document.employee.cm
EXECUTIVE_COMMITTEE,ncb.direct.cm
EXECUTIVE_COMMITTEE,ncb.verify.cm
EXECUTIVE_COMMITTEE,reference.1.information.cm
EXECUTIVE_COMMITTEE,occupation.informationPrevious.cm
EXECUTIVE_COMMITTEE,reference.2.information.cm
EXECUTIVE_COMMITTEE,document.other.cm
EXECUTIVE_COMMITTEE,document.freelance.cm
EXECUTIVE_COMMITTEE,document.employee.cm
EXECUTIVE_COMMITTEE,document.selfEmploy.cm
EXECUTIVE_COMMITTEE,bank.2.information.cm
EXECUTIVE_COMMITTEE,document.freelance.cm
EXECUTIVE_COMMITTEE,document.selfEmploy.cm
EXECUTIVE_COMMITTEE,ncb.manualVerify.cm
EXECUTIVE_COMMITTEE,ncb.manualVerifyNcrs.cm
EXECUTIVE_COMMITTEE,occupation.informationPresent.cm
